INFO 2024-09-20 13:10:42,084 autoreload 12608 23412 Watching for file changes with StatReloader
DEBUG 2024-09-20 13:10:42,085 autoreload 12608 23412 Waiting for apps ready_event.
DEBUG 2024-09-20 13:10:42,106 autoreload 12608 23412 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-20 13:10:42,142 autoreload 12608 23412 Watching dir D:\DaiHoc\PBL\PBL6\Web\sales_web\app\templates with glob **/*.
DEBUG 2024-09-20 13:10:42,142 autoreload 12608 23412 Watching dir D:\DaiHoc\PBL\PBL6\Web\sales_web\locale with glob **/*.mo.
DEBUG 2024-09-20 13:10:42,143 autoreload 12608 23412 Watching dir D:\DaiHoc\PBL\PBL6\Web\sales_web\app\locale with glob **/*.mo.
DEBUG 2024-09-20 13:10:42,303 utils 12608 14564 (0.016) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-09-20 13:10:42,307 utils 12608 14564 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-09-20 13:10:42,361 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1716096767.2038865
DEBUG 2024-09-20 13:10:42,361 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\encodings\__init__.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,361 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\html\entities.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,362 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1716096771.404549
DEBUG 2024-09-20 13:10:42,362 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\sqlparse\utils.py first seen with mtime 1716096767.2040186
DEBUG 2024-09-20 13:10:42,362 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1716096769.1162984
DEBUG 2024-09-20 13:10:42,362 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1716096771.6820714
DEBUG 2024-09-20 13:10:42,362 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\html\__init__.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,362 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\templatetags\static.py first seen with mtime 1716096771.7034476
DEBUG 2024-09-20 13:10:42,362 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1716096771.367564
DEBUG 2024-09-20 13:10:42,363 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\template\backends\base.py first seen with mtime 1716096771.6914723
DEBUG 2024-09-20 13:10:42,363 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\email\mime\text.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,363 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\traceback.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,363 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\utils\dates.py first seen with mtime 1716096771.7296846
DEBUG 2024-09-20 13:10:42,363 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1716096771.566706
DEBUG 2024-09-20 13:10:42,363 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1716096771.5238557
DEBUG 2024-09-20 13:10:42,364 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\utils\duration.py first seen with mtime 1716096771.7343943
DEBUG 2024-09-20 13:10:42,364 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\sre_constants.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,364 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\concurrent\futures\__init__.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,364 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\core\files\temp.py first seen with mtime 1716096771.3901904
DEBUG 2024-09-20 13:10:42,364 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\mimetypes.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,364 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\http\__init__.py first seen with mtime 1716096771.662869
DEBUG 2024-09-20 13:10:42,364 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1716096767.1996946
DEBUG 2024-09-20 13:10:42,365 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\asyncio\staggered.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,365 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\selectors.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,365 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\backports\zoneinfo\_tzpath.py first seen with mtime 1716096767.5239348
DEBUG 2024-09-20 13:10:42,365 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\email\message.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,365 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\urls\__init__.py first seen with mtime 1716096771.712621
DEBUG 2024-09-20 13:10:42,365 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1716096771.748077
DEBUG 2024-09-20 13:10:42,365 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\urllib\response.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,365 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\wsgiref\handlers.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,366 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1716096769.367817
DEBUG 2024-09-20 13:10:42,366 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1716096771.103531
DEBUG 2024-09-20 13:10:42,366 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1716096767.2062137
DEBUG 2024-09-20 13:10:42,366 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\DLLs\_hashlib.pyd first seen with mtime 1571056982.0
DEBUG 2024-09-20 13:10:42,366 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\backports\zoneinfo\_version.py first seen with mtime 1716096767.5244632
DEBUG 2024-09-20 13:10:42,366 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\email\_policybase.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,366 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\copyreg.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,367 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1716096771.394011
DEBUG 2024-09-20 13:10:42,367 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\email\errors.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,367 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\string.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,367 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\importlib\util.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,367 autoreload 12608 23412 File D:\DaiHoc\PBL\PBL6\Web\sales_web\sales_web\urls.py first seen with mtime 1726541604.794627
DEBUG 2024-09-20 13:10:42,367 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\email\_header_value_parser.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,367 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1716096767.210709
DEBUG 2024-09-20 13:10:42,368 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\utils\http.py first seen with mtime 1716096771.7406397
DEBUG 2024-09-20 13:10:42,368 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\weakref.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,368 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\colorama\winterm.py first seen with mtime 1716096896.827776
DEBUG 2024-09-20 13:10:42,368 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1716096771.695174
DEBUG 2024-09-20 13:10:42,368 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1716096770.411829
DEBUG 2024-09-20 13:10:42,368 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1716096771.6874783
DEBUG 2024-09-20 13:10:42,368 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\typing.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,368 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\asyncio\protocols.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,369 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\linecache.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,369 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\json\encoder.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,369 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1716096771.7287862
DEBUG 2024-09-20 13:10:42,369 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\DLLs\_bz2.pyd first seen with mtime 1571056982.0
DEBUG 2024-09-20 13:10:42,369 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\concurrent\__init__.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,369 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\html\parser.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,370 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1716096771.4335408
DEBUG 2024-09-20 13:10:42,370 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\http\request.py first seen with mtime 1716096771.6658595
DEBUG 2024-09-20 13:10:42,370 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1716096771.384256
DEBUG 2024-09-20 13:10:42,370 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1716096771.3712356
DEBUG 2024-09-20 13:10:42,371 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\email\__init__.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,371 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1716096771.7802796
DEBUG 2024-09-20 13:10:42,371 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\core\checks\database.py first seen with mtime 1716096771.3734539
DEBUG 2024-09-20 13:10:42,372 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\email\quoprimime.py first seen with mtime 1571056946.0
DEBUG 2024-09-20 13:10:42,372 autoreload 12608 23412 File C:\Users\SuperiorBpro\AppData\Local\Programs\Python\Python38\Lib\asyncio\locks.py first seen with mtime 1571056946.0
